invert,sepia,saturate,hue-rotate,brightness,contrast
42,86,2688,92,131,109
54,86,3794,89,122,117
48,61,3436,89,123,117
45,99,1375,87,112,130
64,74,5833,92,125,118
51,25,4286,86,115,125
52,61,3803,88,120,122
51,95,3064,89,122,120
47,16,7193,89,126,117
60,51,6035,88,122,121
45,91,1102,84,115,128
68,84,5105,88,122,123
42,78,1208,88,123,122
56,57,4517,87,121,124
57,80,2599,80,109,138
64,48,7483,90,131,113
57,100,3417,88,126,120
0,95,7472,154,104,94
2,94,1382,99,90,104
1,53,3670,115,91,101
3,78,4834,71,99,111
3,51,1515,100,84,103
4,12,6496,73,91,106
2,79,895,132,90,104
1,90,6066,111,94,101
3,80,2446,90,105,108
1,76,5035,91,103,101
4,87,2783,162,86,116
3,27,6082,107,93,104
4,85,2454,78,96,108
5,78,1537,97,94,108
6,12,4512,77,94,106
6,43,1407,86,95,107
6,27,2983,96,104,107
6,13,7297,98,96,106
3,98,6178,112,98,111
5,65,3323,84,99,107
4,41,5224,99,92,102
7,31,3237,80,94,105
7,40,1004,71,103,106
6,29,5105,94,96,107
7,13,6062,85,95,104
6,23,7500,99,95,102
6,42,5659,87,92,105
7,97,789,84,95,105
7,97,1005,85,96,104
9,58,1198,82,92,105
7,72,2123,100,89,103
10,64,1126,89,94,108
8,61,2267,101,92,104
8,76,1664,86,94,105
9,76,1558,100,92,105
7,39,5442,100,99,106
10,30,3161,90,94,106
8,81,1856,94,99,105
9,84,1774,93,96,105
9,49,2955,98,102,109
11,90,1220,87,94,108
10,21,5552,100,102,105
8,89,1806,97,100,104
12,28,2686,85,100,106
10,67,2219,97,92,105
10,26,5988,101,100,107
11,78,1663,98,90,105
10,29,5501,113,102,105
11,42,3107,100,97,104
11,57,2639,101,94,106
12,47,2754,102,97,106
13,53,2674,101,90,107
9,66,3592,100,96,103
14,69,1879,96,88,114
11,26,7203,104,97,105
11,98,1713,103,96,104
12,60,2673,101,98,105
14,20,7110,95,93,105
13,43,4011,109,93,106
8,81,4062,106,103,104
15,50,2330,95,94,106
13,65,2478,101,93,105
15,17,7480,96,96,105
14,40,3511,97,98,105
13,24,6404,100,104,107
12,93,2160,102,95,104
12,64,3302,103,97,103
15,85,1870,99,89,104
15,74,1765,93,96,107
16,30,4419,98,96,106
14,62,2942,100,94,107
13,55,3805,100,98,104
16,83,1381,94,97,108
17,22,5615,96,100,104
14,55,3049,105,99,103
15,46,3971,101,98,105
18,25,5247,96,92,105
16,30,6168,102,96,104
19,44,2602,94,95,106
16,73,2199,99,97,105
17,38,4253,101,97,105
20,31,4553,91,89,106
14,84,3004,107,94,104
15,33,7057,99,97,104
16,94,2084,100,91,105
20,70,1528,90,96,108
13,80,3592,124,97,104
19,84,1414,93,100,110
20,40,3702,98,91,105
19,25,6438,97,97,104
17,88,1835,97,103,106
20,20,7258,96,98,103
21,41,3009,96,99,106
14,96,2441,107,105,105
24,41,2262,90,94,110
19,67,2105,97,101,103
18,24,7226,103,102,103
16,84,3232,101,94,107
22,49,2717,92,97,105
18,34,6149,104,97,103
25,17,7237,96,92,102
15,75,3442,105,106,105
16,99,2813,97,96,104
18,38,5385,102,102,105
18,81,3093,93,98,106
19,33,7202,105,94,107
21,99,1296,92,99,103
19,98,2050,106,93,104
17,86,3213,99,99,101
25,78,1384,91,96,105
21,84,2129,96,96,104
27,88,1028,86,92,109
24,97,1283,93,94,103
24,81,1351,89,100,108
24,96,1261,92,96,104
29,95,7126,105,92,104
27,69,1284,87,97,106
19,87,5716,112,92,110
21,73,2314,106,102,103
22,95,2028,100,94,106
20,89,7014,118,95,105
23,72,2338,103,96,107
20,86,4161,99,94,105
21,92,2304,99,98,103
21,100,5790,120,94,103
22,98,1925,95,100,103
17,96,7241,128,100,101
28,98,1115,90,95,105
17,100,5144,112,100,104
16,99,5909,119,102,102
21,97,3800,114,93,108
22,78,3015,104,97,102
24,63,6116,118,94,104
19,98,4225,119,98,101
25,47,4616,93,98,101
24,48,4128,115,98,106
24,82,2281,93,101,104
25,84,3741,116,93,102
34,66,6063,95,97,102
25,81,3577,109,95,105
25,100,2173,94,97,104
23,70,4831,111,100,106
23,100,3567,110,100,106
29,50,3670,108,91,108
26,100,1779,97,99,108
34,64,5117,110,94,104
31,83,2538,105,91,102
31,42,4019,104,93,104
27,33,7498,115,100,101
35,79,3802,104,93,102
30,97,3382,102,100,103
28,99,1986,106,96,101
28,92,2163,96,99,102
30,96,1891,107,93,107
35,86,3227,94,97,103
35,57,3692,103,95,103
35,35,4034,94,96,102
28,91,2651,102,102,103
36,98,1559,96,90,111
34,93,1964,96,96,101
31,100,1840,100,99,102
41,51,4597,95,95,108
35,52,1882,89,106,108
33,99,1453,93,97,105
48,57,6501,103,97,109
31,56,2581,99,106,103
36,62,2353,97,97,106
36,100,1152,90,94,103
38,81,2328,99,95,110
36,93,1190,90,96,105
34,96,1256,91,99,106
41,91,2189,91,96,103
44,82,2586,90,95,105
47,52,5074,91,99,107
41,26,3674,89,101,108
38,100,1540,91,99,106
37,100,1082,90,97,105
53,89,3383,88,93,112
41,92,1003,86,93,110
44,76,3473,92,101,110
43,77,1864,88,96,112
39,97,1591,91,100,107
37,98,2468,98,107,105
40,84,1165,88,98,105
41,100,2396,94,102,107
60,94,4978,93,103,109
60,66,6181,92,103,108
39,98,1066,87,100,113
39,99,1144,90,102,106
40,97,1945,90,104,108
40,99,1098,87,100,113
41,66,1904,92,102,115
51,38,6602,92,105,111
41,74,1282,88,103,107
